iter	Logloss
0	0.6604914579
1	0.6316427623
2	0.6074069886
3	0.585436116
4	0.5664371589
5	0.5499731528
6	0.5349748165
7	0.5216278487
8	0.5100755834
9	0.4995808292
10	0.4903840935
11	0.4830011116
12	0.4762550997
13	0.46966567
14	0.463538326
15	0.4581724169
16	0.4532725643
17	0.4492388392
18	0.4452475263
19	0.4406706523
20	0.4372639606
21	0.4341002247
22	0.4327211354
23	0.4300892027
24	0.4271168255
25	0.4248173684
26	0.4226483449
27	0.4204121918
28	0.4185555564
29	0.4168565196
30	0.4156264457
31	0.41377446
32	0.41176207
33	0.4108008477
34	0.4091924761
35	0.4079027514
36	0.4063994169
37	0.405477989
38	0.404610808
39	0.4041963286
40	0.4032009776
41	0.4016167067
42	0.401056975
43	0.4005497017
44	0.3994378726
45	0.3979188416
46	0.3966622697
47	0.3959005773
48	0.3948954955
49	0.3937410312
50	0.3932703174
51	0.3925455457
52	0.3915925846
53	0.3908867784
54	0.3899547143
55	0.3894300058
56	0.3887947084
57	0.3887595621
58	0.388139359
59	0.3876607831
60	0.3872393239
61	0.3866207132
62	0.3857433067
63	0.3852205539
64	0.3845204075
65	0.384257581
66	0.3839223181
67	0.3833941866
68	0.3830333541
69	0.3828352978
70	0.3824114017
71	0.3821859283
72	0.381704234
73	0.3812294305
74	0.3812286971
75	0.3809495999
76	0.3807750207
77	0.3802966766
78	0.3798931202
79	0.3797359561
80	0.3797192657
81	0.3791681655
82	0.3785599133
83	0.3780841737
84	0.3777802548
85	0.3775533458
86	0.3771621598
87	0.3768817537
88	0.3764812964
89	0.3762365033
90	0.3757563623
91	0.375516295
92	0.3755157152
93	0.3750677911
94	0.3750671608
95	0.3748528997
96	0.3746627555
97	0.3743088323
98	0.3740318933
99	0.3735408817
