iter	Passed	Remaining
0	51	5109
1	53	2608
2	55	1791
3	57	1371
4	58	1109
5	60	943
6	62	827
7	64	737
8	65	665
9	67	605
10	68	557
11	70	515
12	71	480
13	73	451
14	75	425
15	76	399
16	77	377
17	78	355
18	79	337
19	80	321
20	81	305
21	82	290
22	82	275
23	83	263
24	84	252
25	84	241
26	85	230
27	86	221
28	86	212
29	87	204
30	88	195
31	88	188
32	89	181
33	89	174
34	90	168
35	91	162
36	91	156
37	92	150
38	92	145
39	93	139
40	93	134
41	94	130
42	94	125
43	94	120
44	96	117
45	96	113
46	97	109
47	97	105
48	98	102
49	98	98
50	99	95
51	99	91
52	99	88
53	100	85
54	100	82
55	101	79
56	101	76
57	101	73
58	102	71
59	102	68
60	103	65
61	103	63
62	103	61
63	104	58
64	104	56
65	105	54
66	105	51
67	105	49
68	106	47
69	106	45
70	107	43
71	107	41
72	107	39
73	108	37
74	108	36
75	108	34
76	108	32
77	109	30
78	109	29
79	110	27
80	110	25
81	110	24
82	111	22
83	111	21
84	111	19
85	112	18
86	112	16
87	112	15
88	113	14
89	113	12
90	114	11
91	114	9
92	114	8
93	115	7
94	115	6
95	115	4
96	115	3
97	116	2
98	116	1
99	117	0
